mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.412273502349853,0.49196751369986136,0.06554617881774902,0.01059230375465679,0,{'random_state': 0},0.7564604541895067,0.706342991386061,0.8167580266249022,0.8386844166014096,0.7235708692247454,0.768363351605325,0.05153962995378861,35
11.130813074111938,0.11782821207813247,0.07454066276550293,0.01048528596193701,1,{'random_state': 1},0.7314017227877838,0.73061863743148,0.8026624902114331,0.8285043069694596,0.7196554424432263,0.7625685199686767,0.04424647086627485,74
11.242305994033813,0.17785563747379368,0.07598490715026855,0.006066892867236801,2,{'random_state': 2},0.7361002349256069,0.7024275646045419,0.8253719655442443,0.8332028191072827,0.7274862960062647,0.7649177760375881,0.053766437549757094,56
11.068556594848634,0.2467346454548302,0.07384366989135742,0.007757417172959576,3,{'random_state': 3},0.7760375880971025,0.7126076742364917,0.8112764291307752,0.8332028191072827,0.7470634299138607,0.7760375880971025,0.04329548560447323,4
11.131343126296997,0.279344651973345,0.07474031448364257,0.008995848980006256,4,{'random_state': 4},0.745497259201253,0.706342991386061,0.8206734534064213,0.845732184808144,0.7314017227877838,0.7699295223179325,0.05375046774960392,24
11.177608013153076,0.17185444563689764,0.07038049697875977,0.002297211988983055,5,{'random_state': 5},0.7267032106499608,0.7032106499608457,0.7995301487862176,0.8418167580266249,0.725920125293657,0.7594361785434613,0.05244076544590868,91
10.232872486114502,1.3754895025855185,0.06995763778686523,0.004287961326971244,6,{'random_state': 6},0.7470634299138607,0.6961628817541112,0.8065779169929522,0.8159749412685983,0.7282693813625685,0.7588097102584183,0.045923800199304275,95
9.978142023086548,0.6370196308923468,0.0623384952545166,0.008064028331762809,7,{'random_state': 7},0.7423649177760376,0.7094753328112764,0.8300704776820673,0.8418167580266249,0.7251370399373531,0.769772905246672,0.05514611401664702,25
11.036618900299072,0.37527026278771375,0.06944022178649903,0.009617173163461156,8,{'random_state': 8},0.7243539545810493,0.7196554424432263,0.8159749412685983,0.8198903680501175,0.7251370399373531,0.7610023492560689,0.046537676301760665,86
11.292334079742432,0.20859537466876912,0.06971683502197265,0.005256671735493565,9,{'random_state': 9},0.7423649177760376,0.7274862960062647,0.8198903680501175,0.8504306969459671,0.7274862960062647,0.7735317149569303,0.05152535027879812,9
11.17293734550476,0.14202778843689984,0.06849226951599122,0.008612362753701938,10,{'random_state': 10},0.7470634299138607,0.6906812842599843,0.8253719655442443,0.8324197337509789,0.7173061863743148,0.7625685199686766,0.05706194206452585,75
11.159042024612427,0.07052413727438063,0.06702704429626465,0.004630062237259666,11,{'random_state': 11},0.74079874706343,0.7094753328112764,0.8081440877055599,0.8308535630383712,0.7314017227877838,0.7641346906812843,0.046886871956776516,63
